index,title,abstract,year,mdate,key,page,volume,journal,number,ee,url
371307,How Can Web Services Help Civil Aviation?,,2008,,,,,ICWS,,,
371308,Support Web Services Composition with Optimal Cost Using PPA.,"Currently process algebras have been effectively used for describing and reasoning web services and their composition, but they are lack of cost modeling and analyzing capability and can't support web services composition with optimal cost. This paper proposes a process algebra called PPA (Priced Process Algebra) basing on CCS (Calculus of Communicating Systems) [1]. We discuss the syntax and semantics of PPA extended with priced information and provide an algorithm to support web services composition with optimal cost.",2008,,,,,ICWS,,,
371309,Control Flow Analysis and Coverage Driven Testing for Web Services.,"In this paper, we describe an approach to discover the control flow graph of web services for web services analysis, verification, and testing. For this purpose, three novel methods are proposed. First, we introduce a domain independent RDF Schemas for concise resource oriented functional specification of web services operations. Secondly, we describe the use of RDF entailment to accurately derive the control flow from the functional specifications. We developed a transformation from RDF graph to SPARQL query to facilitate the RDF entailment which offers flexibility and extensibility over the direct graph matching approach. The third is a linkage based web services modeling and analysis framework, within which we apply an improved Google PageRank algorithm to efficiently calculate test coverage potential using the derived control flow. We justify that the proposed linkage based web services modeling and analysis framework is particularly suitable for testing web services. A prototype of the proposed methods has been implemented and tested on some standard based web services. Experimental results show that the control flow analysis is quite efficient and accurate, and the coverage based test results of the proposed approach are very promising.",2008,,,,,ICWS,,,
371310,Tool Support for Safety Analysis of Service Composition and Deployment Models.,"This paper reports on an implementation for tool support of model-checking collaborating service compositions with deployment configurations under resource constraints.The implementation accepts UML Deployment Diagrams with an applied service deployment profile and one or more WS-BPEL orchestrations that are assigned to web servlets and servers in this deployment. Using model-checking techniques the tool can determine whether the configuration of deadlock-free service orchestration processes introduce deadlock scenarios when combined with resource constraints of a deployment environment. The implementation is built upon a tool suite, called WSEngineer, which is aimed at assisting service engineers in constructing and testing various aspects of a service engineering approach, including orchestration,choreography and deployment artifacts. The tool integrates as a plug-in for Eclipse, alongside the IBM Rational Software Architect tool suite and others. A case study based upon a complex service grid solution, for analyzing chemical markup patterns, is used to demonstrate the accessible and practical nature of thesolution.",2008,,,,,ICWS,,,
371311,Communication over IP Based on Web Services.,"In this paper, we study the communication over IP based on web services. We describe the service-oriented communication framework of WIP, Web Services Initiation Protocol, and focus on its web centric networking infrastructure. In our approach, WIP endpoints are exposed as resources on the Web, publishable by their UDDI service registries. They can be searched and discovered by regular web search engines, e.g. Google, upon which they can be networked and linked for scalable and distributed communication over IP. In our approach, the WIP endpoint is a web services based communication endpoint for communication over IP. It is also a service endpoint for software-as-a-service (SaaS) that can integrate, marshup, and enable advanced SaaS applications in communication. Moreover, we introduce the presence aware communication framework in WIP utilizing its extensible and service-oriented infrastructure. An advanced WIP communication system prototype has been implemented. It supports the advanced features described in this paper, including distributed communication, networking, security, presence, etc. Experimental results are presented, and the proposed approach and methods are validated.",2008,,,,,ICWS,,,
371312,A Fast Method to Find Solution for Service Composition.,"Web service has emerged as a new solution for enterprise application integration. Automatic service composite algorithm is to build a composite service for user's request or complex business requirement. Most former work uses the dependence among services, however the relationship is often complicated and the composition algorithm is time consuming. This paper proposes a type based service composition algorithm, which can calculate a feasible solution in linear time. We conduct a series of experiments with real dataset and generated data. The experimental results demonstrate the efficiency of proposed method.",2008,,,,,ICWS,,,
371313,Mashup Advisor: A Recommendation Tool for Mashup Development.,"Mashup editors, like Yahoo Pipes and IBM Lotus Mashup Maker, allow non-programmer end-users to â€œmash-upâ€ù information sources and services to meet their information needs. However, with the increasing number of services, information sources and complex operations like filtering and joining, even an easy to use editor is not sufficient. MashupAdvisor aims to assist mashup creators to build higher quality mashups in less time. Based on the current state of a mashup, the MashupAdvisor quietly suggests outputs (goals) that the user might want to include in the final mashup. MashupAdvisor exploits a repository of mashups to estimate the popularity of specific outputs, and makes suggestions using the conditional probability thatan output will be included, given the current state of the mashup. When a suggestion is accepted, MashupAdvisor uses a semantic matching algorithm and a metric planner to modify the mashup to produce the suggested output. Our prototype was implemented on top of IBM Lotus MashupMaker and our initial results show that it is effective.",2008,,,,,ICWS,,,
371314,Exploiting Independence in Design of Web Service Composition.,"Communications among web services are asynchronous. Asynchronous models of service compositions face the problem that the performance of verification is bring down with states explosion. We describe an approach, which utilize the interaction-independence of component services in the composition and forms all component services into different groups. Preliminary experiment results show that the verification of service compositions upon these groups can decrease the size of exploration states and hence improve the performance.",2008,,,,,ICWS,,,
371315,Communications Semantics for WSBPEL Processes.,"WSBPEL opens up the possibility of applying arange of formal techniques to the verification of Webservice behaviors from two points of view: constraints between activities within the same process and dependencies between activities of different processes. In a previous work, we have described an approach for the verification of Web service compositions defined by a set of BPEL processes. The key aspect of such a verification task is the model adopted for representing the communications among the services participating to the composition. In this paper, we propose to extend this approach to handle dependencies between activities of different process orchestrations through message exchanges. Our aim is to enable supporting models of service choreography with multiple interacting Web services compositions, from the perspective of a collaborative distributed composition development environment. The process of behavior analysis moves from a single local process to that of modelling and analyzing the behavior of multiple processes across composition domains.",2008,,,,,ICWS,,,
371316,A User-Oriented Approach to Automated Service Composition.,"In the past a few years, the Web has undergone a tremendous change towards a highly user-centric environment. Millions of users can participate and collaborate for their own interests and benefits. Service Oriented Computing and web services have created great potential opportunities for the users to build their own applications. Then, it is a pressing issue that, the users can compose services without too complex tasks and efforts. In this paper, we introduce a user-oriented approach which aims to simplify service composition. We leverage the plentiful information residing in service tags, both from service descriptions (such as WSDL) and the annotations tagged by users. Employing some mining algorithms, a Direct Acyclic Graph is built up to represent potential composition opportunities. With a simple and intuitive search, it allows users to explore the space of potentially composable services and achieve service composition in a heuristic manner. We have developed a composition advisor to provide recommendations guiding and assisting the users. It also lets the users discover and make use of services without having to understand too many details of individual candidate services. To enable the users to accomplish service composition in a more interactive access channel, we finally provide a user-friendly prototype based on web browsers. It undoubtedly reduces the complexity and lowers the entry barrier for the users, and makes them better play their role in the Service-Oriented Web Environment.",2008,,,,,ICWS,,,
371317,Ontology-Based Test Modeling and Partition Testing of Web Services.,"Testing is useful to establish trust between service providers and clients. To test the service-oriented applications, automated and specification-based test generation and test collaboration are necessary. The paper proposes an ontology-based approach for Web Services (WS) testing. A Test Ontology Model (TOM) is defined to specify the test concepts, relationships, and semantics from two aspects: test design (such as test data, test behavior, and test cases) and test execution (such as test plan, schedule and configuration). The TOM specification using OWL (Web Ontology Language) can serve as test contracts among test components. Based on the WS semantic specification in OWL-S, the paper discusses the techniques to generate the sub-domains for input partition testing. Data pools are established for each parameter of the specified service. Data partitions are derived by class property and relationship analysis. Completeness and consistency (C&C) checking can be performed on the data partitions and data values, both within the TOM and against the OWL-S, by ontology class computation and reasoning. A prototype tool is implemented to support OWL-S analysis, test ontology generation and C&C checking.",2008,,,,,ICWS,,,
371318,A Monitoring Framework of WS-Resource Properties in WS-GRAM.,"Grid computing has been widely spread in pragmatic areas and scientific research areas in order to achieve more powerful computation than ordinary computation by single computer. Globus Toolkit4 (GT4), which has been the de facto standard middleware in Grid, gives to us many chances of submitting jobs, especially using WSRF technologies. However, in case of cluster type grid using GT4, rules for job execution depend on a local scheduler (LS) which interacts with WS-GRAM in GT4, so that clients can not reflect their own rules to behaviors in each worker node. In this paper, we formulate those potential problems and solutions based on our proposed architecture in, whose main feature is to monitor Resource Property (RP) in WS-GRAM and notify its status to worker nodes. Then we describe how to implement a mechanism for monitoring RP in WS-GRAM to achieve the transparent delivery of client's rules to worker nodes. Our experimental results show that our proposed architecture can be incorporated in WS-GRAM without difficulty.",2008,,,,,ICWS,,,
371319,A Dependable Infrastructure for Cooperative Web Services Coordination.,"A current trend in the web services community is to define coordination mechanisms to execute collaborative tasks involving multiple organizations. Following this tendency, this work presents a dependable (i.e., intrusion-tolerant) infrastructure for cooperative web services coordination that is based on the tuple space coordination model. This infrastructure provides decoupled communication and implements several security mechanisms that allow reliable coordination even in presence of malicious components.This work also investigates the costs related to the use of this infrastructure and possible web service applications that can benefit from it.",2008,,,,,ICWS,,,
371320,CAFISE-S: An Approach to Deploying SOA in Scientific Information Integration.,"The growing need for an integrated view of scientific information from different sources has led to the need for scientific information integration, and on the other hand, SOA is one most prevailing technology for its advantages on solving integration problems. In this paper, we argue that the deployment of SOA in an organization should be business domain-specific, and propose an approach called CAFISE-S, which introduces SOA into scientific information integration from a business view-aspect. Business service is put forward as basic elements in CAFISE-S to model business context and IT services coherently in a semantic way. Based on business service, CAFISE-S provides a business domain-specific modeling method for specification of information services, and then supports business-oriented publication, management and usage of information services. The implementation of CAFISE-S platform and an application of CAFISE-S in a real-world project of scientific information integration are also presented in this paper.",2008,,,,,ICWS,,,
371321,Toward a Model-Based Approach to Dynamic Adaptation of Composite Services.,"Facing changing environments and evolving business rules, composite services ought to be adaptable, even at run-time. Existing mainstream service composition languages and execution engines exhibit insufficient support for variability and adaptability to cater for dynamic changes. Research efforts have been put on the extension of the languages and argumentation of the engines. However, how to ensure the correctness for the adaptation of a running composite service instance and minimize unnecessary re-execution of component services remains a challenge. To address this problem, we propose a model-based approach that allows run-time adaptation of composite services. It is based on an instance transfer mechanism that transfers an active instance of the old service composition schema to a appropriate state of the new schema. Algorithms are proposed to find the appropriate destination states of the transformation. After the migration, the suspended instances can resume their execution according to the new schema. An example based on a FindRoute composite service is also included.",2008,,,,,ICWS,,,
371322,Emergency Response Framework for Aviation XML Services on MANET.,"A XML service is a software component that supports interoperable application-to-application interaction over a network. Each service makes its functionality available through well-defined or standardized XML interfaces. Aviation XML services refer to the services that make operating an airplane in air and on ground possible. In this paper, we present an emergency response framework to organize the aviation XML services to work cooperatively on mobile ad hoc networks (MANETs). A MANET is defined as a self-organized and rapidly deployed network of XML services in order to exchange information without using any pre-existing fixed network infrastructure. Note that the framework does not have to be limited to the aviation sector. The methodology can also be adopted into other MANET computing scenarios including: natural disaster communications (e.g., tsunami, earthquakes), emergency relief scenarios, car-based networks, and the provision of wireless connectivity in remote areas.",2008,,,,,ICWS,,,
371323,A QoS-Oriented Reconfigurable Middleware for Self-Healing Web Services.,"Maintaining the Quality of Service (QoS) is important for self-healing web service-based distributed interactive applications. It requires the ability to deal with permanently changing constraints both at the communication and the execution levels. Preventing or repairing QoS degradation also requires the capacity of identifying its possible or actual sources and the capacity of reconfiguration decision and enforcement. Dealing with these issues is especially challenging for web services since the self-healing solution has to preserve the dynamic composition property and to be seamless for the service requesters, while being always usable under the different deployment constraints. In this paper, we present a self-healing middleware framework able to provide the self-healing properties for QoS management in web service-based distributed interactive applications. The framework implementation has been achieved in the context of the WS-DIAMOND project. It covers the whole cycle of adaptation management including monitoring and analysis of QoS values, and substitution-based reconfiguration.",2008,,,,,ICWS,,,
371324,A Rule-Based Approach for Availability of Web Service.,"Sustainable success of service oriented applications relies on capabilities to manage possible service failures. To substitute a failed service with some other equivalent service is unavoidable in recovering a suspended application due to failure of a constituent service. In this paper, we report a rule based approach to Web service substitution in order to secure availability of services. Availability provides delivery assurance for each Web service so that Simple Object Access Protocol (SOAP) messages cannot be lost undetectably, especially in a Web service composition. The rules are written in Semantic Web Rule Language. The rules are a formal representation of a categorization-based scheme to identify exchangeable Web services. This scheme not only tackles the issue of heterogeneity of domain ontology in describing the Web services, it also adapts itself by learning newly discovered ontology instances. A technical framework of Web service substitution using rule based deduction is demonstrated. Experiments on service substitution based on the proposed framework achieve a best precision of 85%.",2008,,,,,ICWS,,,
371325,New Broadcasting System Combined with Radio Broadcasting and WWW.,"Despite the benefits those communities FM radio broadcasting services provide to their listeners, more than half of the community stations in Japan are struggling financially. This situation has arisen because the Internet has attracted advertising revenue away from radio broadcasting channels. One way to revive local FM radio broadcasting is by adding new representation function to radio signals. It is designed for many listeners to share the same information simultaneously. On the other hand, while the Web provides a variety of content, its ability to broadcast is inferior to that of TV or radio broadcasting. Combining radio broadcasting and the WWW provides a new broadcasting media. The control signals used for accessing the Web are put onto radio sound by using Acoustic OFDM technology. We developed and evaluated such a broadcasting system.",2008,,,,,ICWS,,,
371326,Automatic Service Composition Based on Enhanced Service Dependency Graph.,"Service dependency graph (SDG) is an AND/OR graph showing input output dependencies among service operations. As dependencies in an SDG are indirectly expressed by reasoning on data models used by service interface definitions, their re-usability and expressiveness are limited. In this paper, we propose an enhanced version of service dependency graph, namely SDG+. SDG+ enhances SDG with explicit dependency declaration, which expresses dependencies directly with static explicit declarations. Based on SDG+, we developed our automatic service composition algorithm for WS-Challenge 2007, which wins the championship of composition efficiency in the competition.",2008,,,,,ICWS,,,
371327,Multimedia Content Provisioning Using Service Oriented Architectures.,"Today, multimedia system are still widely realized as monolithic systems. But building such applications using Service-Oriented Architectures â€” especially for the Processing and Delivery of continous Multimedia data streamsâ€” has been a controversial topic since years. As a result, applications in the multimedia domain cannot yet benefit from Web service architectures. Thus, building and maintaining large-scale multimedia applications remains a difficult, costly, time-consuming and challenging problem. In this paper we present our approach for building large scale multimedia systems and compare it with the current state of the art, concentrating on the selection and validation of multimedia service composition.",2008,,,,,ICWS,,,
371328,Adaptive Quality Recommendation Mechanism for Software Service Provisioning.,"In this paper, we propose an adaptive quality recommendation mechanism to help software service providers understand the dynamism of quality demand from the majority of requesters accurately. The unique feature of our approach is that based on the intra-cluster proximity index (called the icp-index) that we propose, the granularity of service clustering can be adjusted dynamically to meet the wide variation of service providers who want to target their services to different groups of clients. Experiments show that our approach is more accurate and flexible to identify the need of service quality of requesters than existing solutions such as simple averaging, minimum-maximum-mean, or traditional interval-range data clustering.",2008,,,,,ICWS,,,
371329,Optimised Mobile Reasoning for Pervasive Service Discovery.,Today's mobile users have access to a wide range of web-based services. This paper presents our m-Tableaux algorithm for enabling cost-efficient and optimised semantic reasoning to support pervasive service discovery. We present performance evaluation of the m-Tableaux optimisation strategies which clearly demonstrate its operational feasibility on a mobile device.,2008,,,,,ICWS,,,
371330,High-Performance XML Parsing and Validation with Permutation Phrase Grammar Parsers.,"The extensibility, flexibility, expressiveness, and platform-neutrality of XML delivers key advantages for interoperability. The interoperability of XML Web services often comes at the price of reduced efficiency of message composition, transfer, and parsing compared to simple binary protocols. This paper presents a high-performance XML parsing and validation technique that is time and space optimal. A schema-specific parsing method is developed that uses a two-stack push-down automaton (PDA) for single-pass parsing and validation without backtracking. The schema validity constraints are packed in a compact parsing table derived from a permutation phrase grammar. This approach reduces both the space and time requirements of XML parsing and validation. By contrast, other XML schema-specific parsing methods trade efficiency for space (larger code and/or data size) or trade space for efficiency (backtracking). Performance results show that the method is significantly faster than traditional validating and non-validating XML parsers.",2008,,,,,ICWS,,,
371331,Interoperability among Service Registry Implementations: Is UDDI Standard Enough?,"The aim of this paper is to reveal some intrinsic disadvantages of the current version of UDDI standard, which create problems in using it as a standard for private, in-house storage of enterprise services. Examples include: access control mechanisms in UDDI, limited rich queries capability, inappropriate mapping of webservice artifacts into UDDI entities, impossibility of managing classification system values, etc. For each disadvantage we consider, we give an illustrative example of its impact in an enterprise service environment. To overcome these disadvantages, someservice registry implementations, based on UDDI introduce proprietary extensions to the standard, or embed additional programmatic logic in their client modules of UDDI, which decreases interoperability between them.",2008,,,,,ICWS,,,
371332,Facilitating Dynamic Collaborations with eContract Services.,"Electronic Contract (eContract) has been recognized as a good combination of technical specification and legal documentation for establishing and regulating virtual organizations built for dynamic collaborations. This paper presents a design and implementation of an eContract service with an aim of providing a trusted collaboration platform for collaborators. The implemented service uses web services technologies to facilitate its collaborators not only to contribute resources in an eContract, but also to negotiate and instantiate them through eContract. This paper describes the interface and protocols for the eContract service. The architecture, interface and protocols designed for the service are demonstrated using an example of providing universal connectivity service for a telepresence application in the context of eResearch domain.",2008,,,,,ICWS,,,
371333,Algorithm for Extrapolating Blogger's Interests through Library Classification Systems.,"All words are used in books, in which each are organized into a category through a library classification system. Therefore, words used by bloggers are also written in books, which in turn are categorized into specific categories. If a blogger uses a particular word often, we can anticipate that the blogger will have interest areas coinciding with the related book categories. This paper suggests that bloggersâ€™ interests can be known through extracting keywords from blog entry titles and using book classification schemes. Because there were instances in which the keywords alone did not provide adequate information, the Naver (Korean search engine) Related Keywords Search function was used because of its collective intelligence properties. During the experiment, test subjects picked the blogs and entry titles, which were analyzed using the 'Naver OpenAPI'. The results show that it is possible to know a blogger's interests using blog entry titles and book classifications.",2008,,,,,ICWS,,,
371334,A Distributed-SOA Model for Unified Communication Services.,"This paper describes an architectural framework adopting the principles of Service Oriented Architecture for deploying unified communications over the Internet. Also discuss the possible ecosystem based on this approach, and the business model that could probably emerge using such a model. In this architecture, we explore the benefits of the Open Services Gateway Initiative (OSGi) framework for providing us with an ideal service execution platform on the servers, with subscriber client devices on the Internet deploying their services dynamically on them. With a cluster of such networks, we form a distributed communication network for different regions of deployment, with an interaction model between them.",2008,,,,,ICWS,,,
371335,Explaining Reputation for Informed Web Services Selection.,This paper explores the use of rationale for understanding the context of reputation information so as to facilitate the exchange and transfer of reputation information across distributed heterogeneous reputation systems for selection of the best service for a particular user's requirements.,2008,,,,,ICWS,,,
371336,Web Service-Based Business Process Development Threat Modeling and Security Assessment Tool.,,2008,,,,,ICWS,,,
371337,Practical SOA: Service Modeling Enterprise Service Bus and Governance.,"This tutorial will take the audience through an â€œaggregatedâ€ù SOA engagement and discuss key processes, activities, and deliverables through the entire life cycle, especially in service modeling, realization, integration through an enterprise service bus and governance. Best practices and some anti-patterns will also be presented and discussed. It is mostly based on some of the speakers' pioneering project practices and lessons learned since SOA and web serviceâ€™s inception.",2008,,,,,ICWS,,,
371338,Automated Web Service Composition Using Extended Representation of Planning Domain.,"WS are distributed software components that can be exposed and invoked over the Internet using standard protocols. They communicate with their clients and with other WS by sending XML based messages over the Internet. AI planning techniques can help solving the composition of WS problem. In fact, services can be modelled as actions and the business process as planning to connect the WS. The main contribution of this paper is the extension of the model of actions to handle the creation or elimination of objects as effects of actions. This contribution allows us to answer to new and more expressive requests, called implicit requests, in which goals may contain objects that have been generated by the plan.",2008,,,,,ICWS,,,
371339,Identifying Security Aspects in Web-Based Federations.,"Today's web applications and their respective business processes reside under the control of different organizations. Establishing federations between these organizations, i.e. bringing these business processes together by transcending organizational and security borders, raises a new class of security questions concerning the management of trust relationships between the autonomous bodies that wish to work together. Based on the WebComposition Architecture Model we provide a modeling approach for federated Web applications. In this paper we present a methodology for formalizing these models using the Ambient Calculus for use in further computation. Based on the results we help the users to identify and detect security related aspects in Web-based federations.",2008,,,,,ICWS,,,
371340,A Comprehensive Six-Dimensional Quality of Web Services Assessment Model.,"We propose a six dimensional QoWS model including expected QoWS, agreed QoWS, delivered QoWS, perceived QoWS, transmitted QoWS, and statistic QoWS to assess quality of Web services comprehensively and objectively. Meanwhile, the proposed assessment mechanism evaluates Web services from the view of compliance, end-to-end performance, and long-term performance.",2008,,,,,ICWS,,,
371341,Measurement Modeling and Analysis of Internet Video Sharing Site Workload: A Case Study.,"In this paper we measured and analyzed the workload on Yahoo! Video, the 2nd largest U.S. video sharing site, to understand its nature and the impact on online video data center design. We discovered interesting statistical properties on both static and temporal dimensions of the workload; they include file duration and popularity distributions, arrival rate dynamics and predictability, and workload stationarity and burstiness. Complemented with queueing-theoretic techniques, we extended our understanding on the measurement data with a virtual data center design assuming the same workload as measured, which reveals results regarding the impact of workload arrival distribution, Service Level Agreements (SLAs) and workload scheduling schemes on the design and operations of such large-scale video distribution systems.",2008,,,,,ICWS,,,
371342,A Temporal Data-Mining Approach for Discovering End-to-End Transaction Flows.,"Effective management of Web Services systems relies on accurate understanding of end-to-end transaction flows, which may change over time as the service composition evolves. This work takes a data mining approach to automatically recovering end-to-end transaction flows from (potentially obscure) monitoring events produced by monitoring tools. We classify the caller-callee relationships among monitoring events into three categories(identity, direct-invoke, and cascaded-invoke), and propose unsupervised learning algorithms to generate rules for each type of relationship. The key idea is to leverage the temporal information available in the monitoring data and extract patterns that have statistical significance. By piecing together the caller-callee relationships a teach step along the invocation path, we can recover the end-to-end flow for every executed transaction. Experiments demonstrate that our algorithms outperform human experts in terms of solution quality, scale well with the data size, and are robust against noises in monitoring data.",2008,,,,,ICWS,,,
371343,Orchestrating caGrid Services in Taverna.,"caBIGâ„¢ (the cancer Biomedical Informatics Gridâ„¢) is an open-source, open-access information network enabling cancer researchers to share tools, data, applications, and technologies. caGrid is the underlying service-based grid software infrastructure for caBIG, integrating distributed data and analytic resources into a virtual collaborative platform for cancer research. Within caGrid, many cancer-related data analysis and aggregation tasks can make use of ""canned"" sets of service invocations, or workflows. As a result, there is a need to orchestrate the invocation of caGrid services through the use of both a workflow language and tooling. In this paper, we first explain why we select Taverna as a candidate for workflow authoring and invocation. We then review the development of Taverna plug-ins in general, and describe how we extend Taverna to use caGrid services. We then detail a real-world example and the lessons learned from our research. Finally we conclude with a summary and a description of potential next steps.",2008,,,,,ICWS,,,
1003239,Merkle Tree Authentication in UDDI Registries.,,2004,11/9/12,journals/jwsr/BertinoCF04,37-57,1,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2004040103,db/journals/jwsr/jwsr1.html#BertinoCF04
1003240,The Deployment of Protocol Stack Components Using Web Services.,,2005,11/9/12,journals/jwsr/CurranG05,18-Jan,2,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2005040101,db/journals/jwsr/jwsr2.html#CurranG05
1003241,Dynamic Workflow Composition: Using Markov Decision Processes.,,2005,11/9/12,journals/jwsr/DoshiGAV05,17-Jan,2,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2005010101,db/journals/jwsr/jwsr2.html#DoshiGAV05
1003242,Towards a Framework for Agent-Enabled Semantic Web Service Composition.,,2004,11/9/12,journals/jwsr/EermolayevKPKT04,63-87,1,Int. J. Web Service Res.,3,http://dx.doi.org/10.4018/jwsr.2004070104,db/journals/jwsr/jwsr1.html#EermolayevKPKT04
1003243,A Preliminary Study of Suppressing Redundant Nested Invocations from a Web Service with Active Replication.,,2004,11/9/12,journals/jwsr/FangLCL04,51-63,1,Int. J. Web Service Res.,4,http://dx.doi.org/10.4018/jwsr.2004100104,db/journals/jwsr/jwsr1.html#FangLCL04
1003244,RAW Architecture: Reflective and Adaptable Web Service Model.,,2005,11/9/12,journals/jwsr/FuenteAMA05,36-53,2,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2005010103,db/journals/jwsr/jwsr2.html#FuenteAMA05
1003245,Model-Driven Web Service Development.,,2004,11/9/12,journals/jwsr/GronmoSSO04,13-Jan,1,Int. J. Web Service Res.,4,http://dx.doi.org/10.4018/jwsr.2004100101,db/journals/jwsr/jwsr1.html#GronmoSSO04
1003246,Model-Based Development of Web Services Descriptions Enabling a Precise Matching Concept.,,2005,11/9/12,journals/jwsr/HausmannHL05,67-84,2,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2005040104,db/journals/jwsr/jwsr2.html#HausmannHL05
1003247,A Spanning Tree Based Approach to Identifying Web Services.,,2004,11/9/12,journals/jwsr/JainZC04,20-Jan,1,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2004010101,db/journals/jwsr/jwsr1.html#JainZC04
1003248,An Extensible Workflow Architecture through Web Services.,,2004,11/9/12,journals/jwsr/JangCZ04,15-Jan,1,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2004040101,db/journals/jwsr/jwsr1.html#JangCZ04
1003249,Seamlessly Securing Web Services by a Signing Proxy.,,2004,11/9/12,journals/jwsr/JeckleM04,88-100,1,Int. J. Web Service Res.,3,http://dx.doi.org/10.4018/jwsr.2004070105,db/journals/jwsr/jwsr1.html#JeckleM04
1003250,A Semi-Automatic Approach to Composite Web Services Discovery Description and Invocation.,,2004,11/9/12,journals/jwsr/LiangCSCL04,64-89,1,Int. J. Web Service Res.,4,http://dx.doi.org/10.4018/jwsr.2004100105,db/journals/jwsr/jwsr1.html#LiangCSCL04
1003251,Implementation and Performance of WS-Security.,,2004,11/9/12,journals/jwsr/MakinoTIN04,58-72,1,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2004010104,db/journals/jwsr/jwsr1.html#MakinoTIN04
1003252,Web Service Business Context - The Normative Perspective.,,2004,11/9/12,journals/jwsr/Marjanovic04,16-36,1,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2004040102,db/journals/jwsr/jwsr1.html#Marjanovic04
1003253,Integrating Intelligent Mobile Agents with Web Services.,,2005,11/9/12,journals/jwsr/MateosZC05,85-103,2,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2005040105,db/journals/jwsr/jwsr2.html#MateosZC05
1003254,Integration of Business Event and Rule Management With the Web Services Model.,,2004,11/9/12,journals/jwsr/NagarajanLS04,41-57,1,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2004010103,db/journals/jwsr/jwsr1.html#NagarajanLS04
1003255,Adaptation Space: A Design Framework for Adaptive Web Services.,,2004,11/9/12,journals/jwsr/PaquesLP04,24-Jan,1,Int. J. Web Service Res.,3,http://dx.doi.org/10.4018/jwsr.2004070101,db/journals/jwsr/jwsr1.html#PaquesLP04
1003256,Foreword.,,2004,,,,,Int. J. Web Service Res.,,,
1003257,Security System for Distributed Business Applications.,,2005,11/9/12,journals/jwsr/SchmidtWF05,77-88,2,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2005010105,db/journals/jwsr/jwsr2.html#SchmidtWF05
1003258,Toward the Right Communication Protocol for Web Services.,,2005,11/9/12,journals/jwsr/TariMTM05,19-42,2,Int. J. Web Service Res.,2,http://dx.doi.org/10.4018/jwsr.2005040102,db/journals/jwsr/jwsr2.html#TariMTM05
1003259,AOP for Dynamic Configuration and Management of Web Services.,,2004,11/9/12,journals/jwsr/VerheeckeCVSJ04,25-41,1,Int. J. Web Service Res.,3,http://dx.doi.org/10.4018/jwsr.2004070102,db/journals/jwsr/jwsr1.html#VerheeckeCVSJ04
1003260,Web Services Enabled E-Market Access Control Model.,,2004,11/9/12,journals/jwsr/WangCZ04,21-40,1,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2004010102,db/journals/jwsr/jwsr1.html#WangCZ04
1003261,WSDL-Driven SOAP Compression.,,2005,12/15/14,journals/jwsr/WernerBF05,18-35,2,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2005010102,db/journals/jwsr/jwsr2.html#WernerBF05
1003262,A Flexible Directory Query Language for the Efficient Processing of Service Composition Queries.,,2007,11/9/12,journals/jwsr/BinderCF07,59-79,4,Int. J. Web Service Res.,1,http://dx.doi.org/10.4018/jwsr.2007010104,db/journals/jwsr/jwsr4.html#BinderCF07
1003263,Matchmaking for Business Processes Based on Choreographies.,"Web services have a potential to enhance B2B e-commerceover the Internet by allowing companies andorganizations to publish their business processes on servicedirectories where potential trading partners canfind them. This can give rise to new business paradigmsbased on ad-hoc trading relations as companies, particularlysmall to medium scale, can cheaply and flexiblyenter into fruitful contracts, e.g., through subcontractingfrom big companies by simply publishing their businessprocesses and the services they offer. More business processsupport by the web service infrastructure is howeverneeded before such a paradigm change can materialize.A service for searching and matchmaking of businessprocesses does not yet exist in the current infrastructure.We believe that such a service is needed and willenable companies and organizations to be able to establishad-hoc business relations without relying on manuallynegotiated interorganizational workflows. This papergives a formal semantics to business process matchmakingbased on finite state automata extended by logicalexpressions associated to states.",2004,11/9/12,journals/jwsr/WombacherFMN04,14-32,1,Int. J. Web Service Res.,4,http://dx.doi.org/10.4018/jwsr.2004100102,db/journals/jwsr/jwsr1.html#WombacherFMN04
